"","scenario","method","autocorr","n","bias","mse","coverage","mcse_bias","mcse_mse","mcse_cover"
"56","8","MA(3)","0.09|0.06|0.01",300,-0.002,0.071,0.934,0.006,0.002,0.006
"57","9","Linear Reg","0.18|0.10|0.01",20,0.043,1.039,0.908,0.023,0.032,0.006
"58","9","Prais Winsten","0.18|0.10|0.01",20,0.034,1.1,0.872,0.023,0.035,0.007
"59","9","ARMA","0.18|0.10|0.01",20,0.042,1.065,0.843,0.023,0.034,0.008
"60","9","Newey West","0.18|0.10|0.01",20,0.043,1.039,0.736,0.023,0.032,0.01
"61","9","MA(1)","0.18|0.10|0.01",20,0.035,1.189,0.746,0.024,0.038,0.01
"62","9","MA(2)","0.18|0.10|0.01",20,0.033,1.343,0.695,0.026,0.044,0.01
"63","9","MA(3)","0.18|0.10|0.01",20,0.038,1.356,0.672,0.026,0.043,0.01
"64","10","Linear Reg","0.18|0.10|0.01",50,0.019,0.479,0.895,0.015,0.015,0.007
"65","10","Prais Winsten","0.18|0.10|0.01",50,0.016,0.473,0.909,0.015,0.015,0.006
"66","10","ARMA","0.18|0.10|0.01",50,0.017,0.48,0.88,0.015,0.015,0.007
"67","10","Newey West","0.18|0.10|0.01",50,0.019,0.479,0.825,0.015,0.015,0.009
"68","10","MA(1)","0.18|0.10|0.01",50,0.017,0.477,0.888,0.015,0.015,0.007
"69","10","MA(2)","0.18|0.10|0.01",50,0.019,0.505,0.836,0.016,0.016,0.008
"70","10","MA(3)","0.18|0.10|0.01",50,0.021,0.557,0.783,0.017,0.018,0.009
"71","11","Linear Reg","0.18|0.10|0.01",100,-0.017,0.242,0.891,0.011,0.008,0.007
"72","11","Prais Winsten","0.18|0.10|0.01",100,-0.017,0.24,0.92,0.011,0.007,0.006
"73","11","ARMA","0.18|0.10|0.01",100,-0.019,0.244,0.901,0.011,0.008,0.007
"74","11","Newey West","0.18|0.10|0.01",100,-0.017,0.242,0.867,0.011,0.008,0.008
"75","11","MA(1)","0.18|0.10|0.01",100,-0.016,0.24,0.91,0.011,0.007,0.006
"76","11","MA(2)","0.18|0.10|0.01",100,-0.019,0.24,0.916,0.011,0.008,0.006
"77","11","MA(3)","0.18|0.10|0.01",100,-0.019,0.245,0.891,0.011,0.008,0.007
"78","12","Linear Reg","0.18|0.10|0.01",300,0.004,0.087,0.884,0.007,0.003,0.007
"79","12","Prais Winsten","0.18|0.10|0.01",300,0.004,0.086,0.928,0.007,0.003,0.006
"80","12","ARMA","0.18|0.10|0.01",300,0.004,0.087,0.926,0.007,0.003,0.006
