"","scenario","method","autocorr","n","bias","mse","coverage","mcse_bias","mcse_mse","mcse_cover"
"277","40","Newey West","0.49|0.14|0.03",300,-0.002,0.162,0.907,0.009,0.005,0.006
"278","40","MA(1)","0.49|0.14|0.03",300,-0.003,0.158,0.91,0.009,0.005,0.006
"279","40","MA(2)","0.49|0.14|0.03",300,-0.005,0.158,0.939,0.009,0.005,0.005
"280","40","MA(3)","0.49|0.14|0.03",300,-0.004,0.158,0.946,0.009,0.005,0.005
"281","41","Linear Reg","0.56|0.31|0.18",20,-0.01,2.262,0.794,0.034,0.069,0.009
"282","41","Prais Winsten","0.56|0.31|0.18",20,0.001,1.697,0.857,0.029,0.054,0.008
"283","41","ARMA","0.56|0.31|0.18",20,0.003,1.969,0.762,0.031,0.062,0.01
"284","41","Newey West","0.56|0.31|0.18",20,-0.01,2.262,0.732,0.034,0.069,0.01
"285","41","MA(1)","0.56|0.31|0.18",20,-0.009,1.93,0.756,0.031,0.06,0.01
"286","41","MA(2)","0.56|0.31|0.18",20,-0.01,2.28,0.67,0.034,0.074,0.011
"287","41","MA(3)","0.56|0.31|0.18",20,-0.007,2.366,0.631,0.034,0.074,0.011
"288","42","Linear Reg","0.56|0.31|0.18",50,0.009,1.29,0.745,0.025,0.04,0.01
"289","42","Prais Winsten","0.56|0.31|0.18",50,0.014,0.938,0.915,0.022,0.03,0.006
"290","42","ARMA","0.56|0.31|0.18",50,0.01,0.987,0.872,0.022,0.031,0.007
"291","42","Newey West","0.56|0.31|0.18",50,0.009,1.29,0.803,0.025,0.04,0.009
"292","42","MA(1)","0.56|0.31|0.18",50,0.009,1.047,0.844,0.023,0.033,0.008
"293","42","MA(2)","0.56|0.31|0.18",50,0.013,1.019,0.854,0.023,0.032,0.008
"294","42","MA(3)","0.56|0.31|0.18",50,-0.009,1.038,0.865,0.023,0.034,0.008
"295","43","Linear Reg","0.56|0.31|0.18",100,-0.029,0.673,0.742,0.018,0.02,0.01
"296","43","Prais Winsten","0.56|0.31|0.18",100,-0.011,0.559,0.929,0.017,0.017,0.006
"297","43","ARMA","0.56|0.31|0.18",100,-0.013,0.582,0.896,0.017,0.018,0.007
"298","43","Newey West","0.56|0.31|0.18",100,-0.029,0.673,0.839,0.018,0.02,0.008
"299","43","MA(1)","0.56|0.31|0.18",100,-0.024,0.587,0.859,0.017,0.018,0.008
"300","43","MA(2)","0.56|0.31|0.18",100,-0.019,0.58,0.879,0.017,0.018,0.007
"301","43","MA(3)","0.56|0.31|0.18",100,-0.014,0.554,0.92,0.017,0.017,0.006
"302","44","Linear Reg","0.56|0.31|0.18",300,-0.005,0.229,0.747,0.011,0.007,0.01
"303","44","Prais Winsten","0.56|0.31|0.18",300,-0.009,0.212,0.964,0.01,0.007,0.004
"304","44","ARMA","0.56|0.31|0.18",300,-0.011,0.214,0.947,0.01,0.007,0.005
"305","44","Newey West","0.56|0.31|0.18",300,-0.005,0.229,0.908,0.011,0.007,0.006
"306","44","MA(1)","0.56|0.31|0.18",300,-0.007,0.217,0.866,0.01,0.007,0.008
"307","44","MA(2)","0.56|0.31|0.18",300,-0.007,0.215,0.901,0.01,0.007,0.007
"308","44","MA(3)","0.56|0.31|0.18",300,-0.011,0.209,0.951,0.01,0.007,0.005
"309","45","Linear Reg","0.60|0.34|0.14",20,0.016,2.3,0.803,0.034,0.077,0.009
"310","45","Prais Winsten","0.60|0.34|0.14",20,0.023,1.738,0.87,0.029,0.061,0.008
"311","45","ARMA","0.60|0.34|0.14",20,0.026,2.062,0.769,0.032,0.073,0.009
"312","45","Newey West","0.60|0.34|0.14",20,0.016,2.3,0.759,0.034,0.077,0.01
"313","45","MA(1)","0.60|0.34|0.14",20,0.02,2.011,0.775,0.032,0.068,0.009
"314","45","MA(2)","0.60|0.34|0.14",20,0.026,2.334,0.7,0.034,0.083,0.01
"315","45","MA(3)","0.60|0.34|0.14",20,0.017,2.446,0.642,0.035,0.083,0.011
"316","46","Linear Reg","0.60|0.34|0.14",50,0.021,1.423,0.734,0.027,0.046,0.01
"317","46","Prais Winsten","0.60|0.34|0.14",50,-0.009,1.027,0.911,0.023,0.035,0.006
"318","46","ARMA","0.60|0.34|0.14",50,-0.003,1.079,0.872,0.023,0.036,0.007
"319","46","Newey West","0.60|0.34|0.14",50,0.021,1.423,0.795,0.027,0.046,0.009
"320","46","MA(1)","0.60|0.34|0.14",50,0.014,1.178,0.813,0.024,0.038,0.009
"321","46","MA(2)","0.60|0.34|0.14",50,0.009,1.1,0.864,0.023,0.036,0.008
"322","46","MA(3)","0.60|0.34|0.14",50,0.018,1.112,0.86,0.024,0.036,0.008
"323","47","Linear Reg","0.60|0.34|0.14",100,-0.002,0.713,0.747,0.019,0.023,0.01
"324","47","Prais Winsten","0.60|0.34|0.14",100,0.018,0.592,0.935,0.017,0.019,0.005
"325","47","ARMA","0.60|0.34|0.14",100,0.012,0.619,0.903,0.018,0.02,0.007
"326","47","Newey West","0.60|0.34|0.14",100,-0.002,0.713,0.852,0.019,0.023,0.008
"327","47","MA(1)","0.60|0.34|0.14",100,0.003,0.639,0.844,0.018,0.021,0.008
"328","47","MA(2)","0.60|0.34|0.14",100,0.004,0.599,0.894,0.017,0.02,0.007
"329","47","MA(3)","0.60|0.34|0.14",100,0.01,0.582,0.922,0.017,0.019,0.006
"330","48","Linear Reg","0.60|0.34|0.14",300,0.014,0.266,0.737,0.012,0.009,0.01
"331","48","Prais Winsten","0.60|0.34|0.14",300,0.009,0.247,0.959,0.011,0.008,0.004
"332","48","ARMA","0.60|0.34|0.14",300,0.009,0.246,0.935,0.011,0.008,0.005
"333","48","Newey West","0.60|0.34|0.14",300,0.014,0.266,0.896,0.012,0.009,0.007
"334","48","MA(1)","0.60|0.34|0.14",300,0.013,0.255,0.847,0.011,0.008,0.008
"335","48","MA(2)","0.60|0.34|0.14",300,0.012,0.247,0.896,0.011,0.008,0.007
"336","48","MA(3)","0.60|0.34|0.14",300,0.009,0.242,0.943,0.011,0.008,0.005
"337","49","Linear Reg","0.63|0.37|0.20",20,-0.069,2.531,0.787,0.036,0.081,0.009
"338","49","Prais Winsten","0.63|0.37|0.20",20,-0.058,1.763,0.87,0.03,0.061,0.008
"339","49","ARMA","0.63|0.37|0.20",20,-0.066,2.073,0.773,0.032,0.071,0.009
"340","49","Newey West","0.63|0.37|0.20",20,-0.069,2.531,0.751,0.036,0.081,0.01
"341","49","MA(1)","0.63|0.37|0.20",20,-0.07,2.066,0.746,0.032,0.07,0.01
"342","49","MA(2)","0.63|0.37|0.20",20,-0.057,2.35,0.675,0.034,0.081,0.01
"343","49","MA(3)","0.63|0.37|0.20",20,-0.029,2.54,0.636,0.036,0.088,0.011
"344","50","Linear Reg","0.63|0.37|0.20",50,0.001,1.495,0.742,0.027,0.049,0.01
"345","50","Prais Winsten","0.63|0.37|0.20",50,0.017,1.031,0.913,0.023,0.034,0.006
"346","50","ARMA","0.63|0.37|0.20",50,0.013,1.096,0.879,0.023,0.037,0.007
"347","50","Newey West","0.63|0.37|0.20",50,0.001,1.495,0.82,0.027,0.049,0.009
"348","50","MA(1)","0.63|0.37|0.20",50,0.008,1.174,0.832,0.024,0.039,0.008
"349","50","MA(2)","0.63|0.37|0.20",50,0.015,1.122,0.857,0.024,0.038,0.008
"350","50","MA(3)","0.63|0.37|0.20",50,0.007,1.112,0.86,0.024,0.037,0.008
"351","51","Linear Reg","0.63|0.37|0.20",100,-0.014,0.841,0.726,0.021,0.027,0.01
"352","51","Prais Winsten","0.63|0.37|0.20",100,-0.005,0.675,0.936,0.018,0.022,0.005
"353","51","ARMA","0.63|0.37|0.20",100,-0.001,0.688,0.912,0.019,0.022,0.006
"354","51","Newey West","0.63|0.37|0.20",100,-0.014,0.841,0.852,0.021,0.027,0.008
"355","51","MA(1)","0.63|0.37|0.20",100,-0.012,0.718,0.853,0.019,0.023,0.008
"356","51","MA(2)","0.63|0.37|0.20",100,-0.012,0.702,0.883,0.019,0.022,0.007
"357","51","MA(3)","0.63|0.37|0.20",100,-0.005,0.642,0.932,0.018,0.02,0.006
"358","52","Linear Reg","0.63|0.37|0.20",300,-0.013,0.298,0.72,0.012,0.009,0.01
"359","52","Prais Winsten","0.63|0.37|0.20",300,-0.016,0.275,0.959,0.012,0.009,0.004
"360","52","ARMA","0.63|0.37|0.20",300,-0.015,0.271,0.934,0.012,0.008,0.006
"361","52","Newey West","0.63|0.37|0.20",300,-0.013,0.298,0.891,0.012,0.009,0.007
"362","52","MA(1)","0.63|0.37|0.20",300,-0.013,0.28,0.835,0.012,0.009,0.008
"363","52","MA(2)","0.63|0.37|0.20",300,-0.013,0.276,0.875,0.012,0.009,0.007
"364","52","MA(3)","0.63|0.37|0.20",300,-0.013,0.265,0.944,0.012,0.008,0.005
"365","53","Linear Reg","0.56|0.18|0.07",20,0.003,2.089,0.829,0.032,0.068,0.008
"366","53","Prais Winsten","0.56|0.18|0.07",20,-0.002,1.637,0.888,0.029,0.055,0.007
"367","53","ARMA","0.56|0.18|0.07",20,0.007,1.853,0.794,0.03,0.061,0.009
"368","53","Newey West","0.56|0.18|0.07",20,0.003,2.089,0.751,0.032,0.068,0.01
"369","53","MA(1)","0.56|0.18|0.07",20,-0.021,1.783,0.78,0.03,0.062,0.009
"370","53","MA(2)","0.56|0.18|0.07",20,-0.03,2.143,0.668,0.033,0.072,0.011
"371","53","MA(3)","0.56|0.18|0.07",20,-0.007,2.299,0.622,0.034,0.074,0.011
"372","54","Linear Reg","0.56|0.18|0.07",50,-0.007,1.15,0.793,0.024,0.038,0.009
"373","54","Prais Winsten","0.56|0.18|0.07",50,0.007,0.905,0.939,0.021,0.031,0.005
"374","54","ARMA","0.56|0.18|0.07",50,0.007,0.914,0.893,0.021,0.031,0.007
"375","54","Newey West","0.56|0.18|0.07",50,-0.007,1.15,0.82,0.024,0.038,0.009
"376","54","MA(1)","0.56|0.18|0.07",50,0.007,0.886,0.888,0.021,0.03,0.007
"377","54","MA(2)","0.56|0.18|0.07",50,0.005,0.906,0.888,0.021,0.03,0.007
"378","54","MA(3)","0.56|0.18|0.07",50,0.01,0.981,0.837,0.022,0.033,0.008
"379","55","Linear Reg","0.56|0.18|0.07",100,0,0.578,0.789,0.017,0.019,0.009
"380","55","Prais Winsten","0.56|0.18|0.07",100,-0.005,0.509,0.953,0.016,0.016,0.005
"381","55","ARMA","0.56|0.18|0.07",100,0.004,0.508,0.901,0.016,0.016,0.007
"382","55","Newey West","0.56|0.18|0.07",100,0,0.578,0.858,0.017,0.019,0.008
"383","55","MA(1)","0.56|0.18|0.07",100,0.005,0.501,0.888,0.016,0.016,0.007
"384","55","MA(2)","0.56|0.18|0.07",100,0.004,0.5,0.906,0.016,0.016,0.007
"385","55","MA(3)","0.56|0.18|0.07",100,0.003,0.502,0.917,0.016,0.016,0.006
"386","56","Linear Reg","0.56|0.18|0.07",300,0.008,0.202,0.78,0.01,0.006,0.009
"387","56","Prais Winsten","0.56|0.18|0.07",300,0.001,0.194,0.968,0.01,0.006,0.004
"388","56","ARMA","0.56|0.18|0.07",300,0.005,0.189,0.935,0.01,0.006,0.006
"389","56","Newey West","0.56|0.18|0.07",300,0.008,0.202,0.904,0.01,0.006,0.007
"390","56","MA(1)","0.56|0.18|0.07",300,0.007,0.19,0.896,0.01,0.006,0.007
"391","56","MA(2)","0.56|0.18|0.07",300,0.006,0.188,0.927,0.01,0.006,0.006
"392","56","MA(3)","0.56|0.18|0.07",300,0.005,0.187,0.947,0.01,0.006,0.005
"393","57","Linear Reg","0.52|0.07|0.03",20,-0.035,2.119,0.857,0.033,0.067,0.008
"394","57","Prais Winsten","0.52|0.07|0.03",20,-0.044,1.768,0.9,0.03,0.056,0.007
"395","57","ARMA","0.52|0.07|0.03",20,-0.051,1.823,0.829,0.03,0.061,0.008
"396","57","Newey West","0.52|0.07|0.03",20,-0.035,2.119,0.74,0.033,0.067,0.01
"397","57","MA(1)","0.52|0.07|0.03",20,-0.017,1.45,0.795,0.027,0.049,0.009
"398","57","MA(2)","0.52|0.07|0.03",20,-0.03,1.824,0.674,0.03,0.063,0.01
"399","57","MA(3)","0.52|0.07|0.03",20,-0.03,1.9,0.629,0.031,0.067,0.011
"400","58","Linear Reg","0.52|0.07|0.03",50,0.032,1.037,0.821,0.023,0.034,0.009
"401","58","Prais Winsten","0.52|0.07|0.03",50,0.029,0.923,0.939,0.021,0.031,0.005
"402","58","ARMA","0.52|0.07|0.03",50,0.021,0.788,0.91,0.02,0.026,0.006
"403","58","Newey West","0.52|0.07|0.03",50,0.032,1.037,0.818,0.023,0.034,0.009
"404","58","MA(1)","0.52|0.07|0.03",50,0.025,0.807,0.862,0.02,0.027,0.008
"405","58","MA(2)","0.52|0.07|0.03",50,0.028,0.831,0.853,0.02,0.027,0.008
"406","58","MA(3)","0.52|0.07|0.03",50,0.037,0.894,0.803,0.021,0.029,0.009
"407","59","Linear Reg","0.52|0.07|0.03",100,0.005,0.533,0.827,0.016,0.017,0.008
"408","59","Prais Winsten","0.52|0.07|0.03",100,-0.014,0.493,0.958,0.016,0.015,0.004
"409","59","ARMA","0.52|0.07|0.03",100,-0.003,0.434,0.926,0.015,0.013,0.006
"410","59","Newey West","0.52|0.07|0.03",100,0.005,0.533,0.867,0.016,0.017,0.008
"411","59","MA(1)","0.52|0.07|0.03",100,-0.008,0.43,0.925,0.015,0.013,0.006
"412","59","MA(2)","0.52|0.07|0.03",100,-0.009,0.437,0.917,0.015,0.013,0.006
"413","59","MA(3)","0.52|0.07|0.03",100,-0.01,0.452,0.912,0.015,0.014,0.006
"414","60","Linear Reg","0.52|0.07|0.03",300,0.01,0.193,0.805,0.01,0.006,0.009
"415","60","Prais Winsten","0.52|0.07|0.03",300,0.01,0.19,0.971,0.01,0.006,0.004
"416","60","ARMA","0.52|0.07|0.03",300,0.009,0.179,0.928,0.009,0.005,0.006
"417","60","Newey West","0.52|0.07|0.03",300,0.01,0.193,0.905,0.01,0.006,0.007
"418","60","MA(1)","0.52|0.07|0.03",300,0.01,0.178,0.927,0.009,0.006,0.006
"419","60","MA(2)","0.52|0.07|0.03",300,0.01,0.178,0.927,0.009,0.006,0.006
"420","60","MA(3)","0.52|0.07|0.03",300,0.01,0.179,0.936,0.009,0.006,0.005
"421","61","Linear Reg","0.66|0.30|0.09",20,0.013,2.859,0.791,0.038,0.088,0.009
"422","61","Prais Winsten","0.66|0.30|0.09",20,0.026,1.74,0.898,0.029,0.057,0.007
"423","61","ARMA","0.66|0.30|0.09",20,0.015,2.101,0.792,0.032,0.072,0.009
"424","61","Newey West","0.66|0.30|0.09",20,0.013,2.859,0.757,0.038,0.088,0.01
"425","61","MA(1)","0.66|0.30|0.09",20,0.014,1.965,0.782,0.031,0.065,0.009
"426","61","MA(2)","0.66|0.30|0.09",20,-0.004,2.233,0.676,0.033,0.073,0.01
"427","61","MA(3)","0.66|0.30|0.09",20,-0.012,2.545,0.632,0.036,0.087,0.011
"428","62","Linear Reg","0.66|0.30|0.09",50,0,1.602,0.739,0.028,0.051,0.01
"429","62","Prais Winsten","0.66|0.30|0.09",50,-0.014,1.098,0.926,0.023,0.033,0.006
"430","62","ARMA","0.66|0.30|0.09",50,-0.01,1.129,0.87,0.024,0.036,0.008
"431","62","Newey West","0.66|0.30|0.09",50,0,1.602,0.803,0.028,0.051,0.009
"432","62","MA(1)","0.66|0.30|0.09",50,-0.019,1.178,0.835,0.024,0.038,0.008
"433","62","MA(2)","0.66|0.30|0.09",50,-0.002,1.112,0.875,0.024,0.036,0.007
"434","62","MA(3)","0.66|0.30|0.09",50,-0.019,1.234,0.848,0.025,0.04,0.008
"435","63","Linear Reg","0.66|0.30|0.09",100,0.017,0.887,0.722,0.021,0.028,0.01
"436","63","Prais Winsten","0.66|0.30|0.09",100,0.009,0.679,0.951,0.018,0.021,0.005
"437","63","ARMA","0.66|0.30|0.09",100,0.012,0.673,0.901,0.018,0.021,0.007
"438","63","Newey West","0.66|0.30|0.09",100,0.017,0.887,0.84,0.021,0.028,0.008
"439","63","MA(1)","0.66|0.30|0.09",100,0.011,0.724,0.844,0.019,0.023,0.008
"440","63","MA(2)","0.66|0.30|0.09",100,0.009,0.666,0.908,0.018,0.021,0.006
"441","63","MA(3)","0.66|0.30|0.09",100,0.009,0.651,0.927,0.018,0.021,0.006
"442","64","Linear Reg","0.66|0.30|0.09",300,0.022,0.284,0.759,0.012,0.009,0.01
"443","64","Prais Winsten","0.66|0.30|0.09",300,0.02,0.274,0.976,0.012,0.009,0.003
"444","64","ARMA","0.66|0.30|0.09",300,0.019,0.255,0.938,0.011,0.008,0.005
"445","64","Newey West","0.66|0.30|0.09",300,0.022,0.284,0.909,0.012,0.009,0.006
"446","64","MA(1)","0.66|0.30|0.09",300,0.019,0.263,0.856,0.011,0.008,0.008
"447","64","MA(2)","0.66|0.30|0.09",300,0.017,0.253,0.921,0.011,0.008,0.006
"448","64","MA(3)","0.66|0.30|0.09",300,0.018,0.252,0.949,0.011,0.008,0.005
"449","65","Linear Reg","0.61|0.25|0.13",20,0.001,2.66,0.8,0.036,0.083,0.009
"450","65","Prais Winsten","0.61|0.25|0.13",20,-0.007,1.867,0.885,0.031,0.06,0.007
"451","65","ARMA","0.61|0.25|0.13",20,-0.019,2.104,0.791,0.032,0.071,0.009
"452","65","Newey West","0.61|0.25|0.13",20,0.001,2.66,0.738,0.036,0.083,0.01
"453","65","MA(1)","0.61|0.25|0.13",20,0.013,1.604,0.788,0.028,0.054,0.009
"454","65","MA(2)","0.61|0.25|0.13",20,-0.002,2.013,0.683,0.032,0.073,0.01
"455","65","MA(3)","0.61|0.25|0.13",20,-0.001,2.271,0.633,0.034,0.082,0.011
"456","66","Linear Reg","0.61|0.25|0.13",50,0.01,1.389,0.774,0.026,0.047,0.009
"457","66","Prais Winsten","0.61|0.25|0.13",50,0.003,0.999,0.934,0.022,0.035,0.006
"458","66","ARMA","0.61|0.25|0.13",50,0,0.909,0.91,0.021,0.033,0.006
"459","66","Newey West","0.61|0.25|0.13",50,0.01,1.389,0.819,0.026,0.047,0.009
"460","66","MA(1)","0.61|0.25|0.13",50,-0.01,0.894,0.845,0.021,0.031,0.008
"461","66","MA(2)","0.61|0.25|0.13",50,-0.008,0.934,0.825,0.022,0.033,0.008
"462","66","MA(3)","0.61|0.25|0.13",50,-0.007,0.923,0.814,0.021,0.032,0.009
"463","67","Linear Reg","0.61|0.25|0.13",100,0.021,0.792,0.763,0.02,0.026,0.01
"464","67","Prais Winsten","0.61|0.25|0.13",100,0.001,0.658,0.953,0.018,0.022,0.005
"465","67","ARMA","0.61|0.25|0.13",100,0.015,0.599,0.898,0.017,0.019,0.007
"466","67","Newey West","0.61|0.25|0.13",100,0.021,0.792,0.848,0.02,0.026,0.008
"467","67","MA(1)","0.61|0.25|0.13",100,0.015,0.603,0.859,0.017,0.019,0.008
"468","67","MA(2)","0.61|0.25|0.13",100,0.013,0.614,0.86,0.018,0.019,0.008
"469","67","MA(3)","0.61|0.25|0.13",100,0.011,0.607,0.882,0.017,0.019,0.007
"470","68","Linear Reg","0.61|0.25|0.13",300,-0.015,0.288,0.743,0.012,0.009,0.01
"471","68","Prais Winsten","0.61|0.25|0.13",300,-0.01,0.266,0.963,0.012,0.009,0.004
"472","68","ARMA","0.61|0.25|0.13",300,-0.009,0.251,0.922,0.011,0.008,0.006
"473","68","Newey West","0.61|0.25|0.13",300,-0.015,0.288,0.89,0.012,0.009,0.007
"474","68","MA(1)","0.61|0.25|0.13",300,-0.01,0.254,0.878,0.011,0.008,0.007
"475","68","MA(2)","0.61|0.25|0.13",300,-0.01,0.254,0.887,0.011,0.008,0.007
"476","68","MA(3)","0.61|0.25|0.13",300,-0.008,0.251,0.931,0.011,0.008,0.006
"477","69","Linear Reg","0.65|0.33|0.17",20,-0.017,3.058,0.77,0.039,0.089,0.009
"478","69","Prais Winsten","0.65|0.33|0.17",20,0.002,2.031,0.876,0.032,0.065,0.007
"479","69","ARMA","0.65|0.33|0.17",20,-0.006,2.382,0.759,0.035,0.078,0.01
"480","69","Newey West","0.65|0.33|0.17",20,-0.017,3.058,0.724,0.039,0.089,0.01
"481","69","MA(1)","0.65|0.33|0.17",20,0.018,1.879,0.763,0.031,0.065,0.01
"482","69","MA(2)","0.65|0.33|0.17",20,0.033,2.348,0.664,0.034,0.081,0.011
"483","69","MA(3)","0.65|0.33|0.17",20,0.006,2.556,0.609,0.036,0.086,0.011
"484","70","Linear Reg","0.65|0.33|0.17",50,-0.029,1.629,0.754,0.029,0.05,0.01
"485","70","Prais Winsten","0.65|0.33|0.17",50,-0.031,1.089,0.926,0.023,0.034,0.006
"486","70","ARMA","0.65|0.33|0.17",50,-0.029,1.014,0.9,0.023,0.032,0.007
"487","70","Newey West","0.65|0.33|0.17",50,-0.029,1.629,0.82,0.029,0.05,0.009
"488","70","MA(1)","0.65|0.33|0.17",50,-0.042,1.029,0.827,0.023,0.033,0.008
"489","70","MA(2)","0.65|0.33|0.17",50,-0.039,1.076,0.835,0.023,0.034,0.008
"490","70","MA(3)","0.65|0.33|0.17",50,-0.031,0.986,0.845,0.022,0.032,0.008
"491","71","Linear Reg","0.65|0.33|0.17",100,0.012,0.903,0.741,0.021,0.03,0.01
"492","71","Prais Winsten","0.65|0.33|0.17",100,0.015,0.694,0.955,0.019,0.022,0.005
"493","71","ARMA","0.65|0.33|0.17",100,0.019,0.66,0.91,0.018,0.021,0.006
"494","71","Newey West","0.65|0.33|0.17",100,0.012,0.903,0.849,0.021,0.03,0.008
"495","71","MA(1)","0.65|0.33|0.17",100,0.018,0.651,0.857,0.018,0.021,0.008
"496","71","MA(2)","0.65|0.33|0.17",100,0.015,0.666,0.866,0.018,0.022,0.008
"497","71","MA(3)","0.65|0.33|0.17",100,0.014,0.63,0.892,0.018,0.02,0.007
"498","72","Linear Reg","0.65|0.33|0.17",300,0.027,0.328,0.725,0.013,0.01,0.01
"499","72","Prais Winsten","0.65|0.33|0.17",300,0.023,0.294,0.974,0.012,0.009,0.004
"500","72","ARMA","0.65|0.33|0.17",300,0.037,0.272,0.944,0.012,0.008,0.005
"501","72","Newey West","0.65|0.33|0.17",300,0.027,0.328,0.903,0.013,0.01,0.007
"502","72","MA(1)","0.65|0.33|0.17",300,0.029,0.278,0.868,0.012,0.009,0.008
"503","72","MA(2)","0.65|0.33|0.17",300,0.029,0.279,0.887,0.012,0.009,0.007
"504","72","MA(3)","0.65|0.33|0.17",300,0.037,0.261,0.954,0.011,0.008,0.005
"505","73","Linear Reg","0.74|0.48|0.23",20,-0.016,4.695,0.735,0.048,0.139,0.01
"506","73","Prais Winsten","0.74|0.48|0.23",20,0,2.283,0.888,0.034,0.072,0.007
"507","73","ARMA","0.74|0.48|0.23",20,-0.016,2.769,0.786,0.037,0.096,0.009
"508","73","Newey West","0.74|0.48|0.23",20,-0.016,4.695,0.742,0.048,0.139,0.01
"509","73","MA(1)","0.74|0.48|0.23",20,0.005,2.43,0.763,0.035,0.08,0.01
"510","73","MA(2)","0.74|0.48|0.23",20,0.001,2.63,0.696,0.036,0.095,0.01
"511","73","MA(3)","0.74|0.48|0.23",20,0.036,2.858,0.669,0.038,0.115,0.011
"512","74","Linear Reg","0.74|0.48|0.23",50,-0.032,2.95,0.674,0.038,0.091,0.01
"513","74","Prais Winsten","0.74|0.48|0.23",50,0.011,1.584,0.918,0.028,0.05,0.006
"514","74","ARMA","0.74|0.48|0.23",50,0.025,1.559,0.872,0.028,0.051,0.007
"515","74","Newey West","0.74|0.48|0.23",50,-0.032,2.95,0.788,0.038,0.091,0.009
"516","74","MA(1)","0.74|0.48|0.23",50,-0.005,1.64,0.774,0.029,0.056,0.009
"517","74","MA(2)","0.74|0.48|0.23",50,0.018,1.762,0.791,0.03,0.057,0.009
"518","74","MA(3)","0.74|0.48|0.23",50,0.031,1.004,0.845,0.022,0.037,0.008
"519","75","Linear Reg","0.74|0.48|0.23",100,-0.009,1.614,0.682,0.028,0.051,0.01
"520","75","Prais Winsten","0.74|0.48|0.23",100,-0.017,1.057,0.951,0.023,0.034,0.005
"521","75","ARMA","0.74|0.48|0.23",100,-0.025,0.842,0.928,0.021,0.026,0.006
"522","75","Newey West","0.74|0.48|0.23",100,-0.009,1.614,0.839,0.028,0.051,0.008
"523","75","MA(1)","0.74|0.48|0.23",100,-0.016,1.018,0.804,0.023,0.031,0.009
"524","75","MA(2)","0.74|0.48|0.23",100,-0.016,1.081,0.841,0.023,0.033,0.008
"525","75","MA(3)","0.74|0.48|0.23",100,-0.019,0.699,0.86,0.019,0.021,0.008
"526","76","Linear Reg","0.74|0.48|0.23",300,-0.023,0.62,0.673,0.018,0.02,0.01
"527","76","Prais Winsten","0.74|0.48|0.23",300,-0.011,0.526,0.97,0.016,0.017,0.004
"528","76","ARMA","0.74|0.48|0.23",300,0.005,0.406,0.936,0.014,0.013,0.005
"529","76","Newey West","0.74|0.48|0.23",300,-0.023,0.62,0.889,0.018,0.02,0.007
"530","76","MA(1)","0.74|0.48|0.23",300,-0.01,0.486,0.823,0.016,0.015,0.009
"531","76","MA(2)","0.74|0.48|0.23",300,-0.017,0.516,0.846,0.016,0.016,0.008
"532","76","MA(3)","0.74|0.48|0.23",300,0.006,0.369,0.93,0.014,0.012,0.006
"533","77","Linear Reg","0.72|0.38|0.15",20,0.037,4.057,0.748,0.045,0.127,0.01
"534","77","Prais Winsten","0.72|0.38|0.15",20,0.055,1.93,0.898,0.031,0.063,0.007
"535","77","ARMA","0.72|0.38|0.15",20,0.052,2.229,0.808,0.033,0.083,0.009
"536","77","Newey West","0.72|0.38|0.15",20,0.037,4.057,0.747,0.045,0.127,0.01
"537","77","MA(1)","0.72|0.38|0.15",20,0.049,1.949,0.777,0.031,0.066,0.009
"538","77","MA(2)","0.72|0.38|0.15",20,0.046,2.282,0.661,0.034,0.084,0.011
"539","77","MA(3)","0.72|0.38|0.15",20,0.022,2.627,0.617,0.036,0.094,0.011
"540","78","Linear Reg","0.72|0.38|0.15",50,-0.002,2.295,0.712,0.034,0.074,0.01
"541","78","Prais Winsten","0.72|0.38|0.15",50,-0.032,1.38,0.916,0.026,0.045,0.006
"542","78","ARMA","0.72|0.38|0.15",50,-0.023,1.28,0.864,0.025,0.041,0.008
"543","78","Newey West","0.72|0.38|0.15",50,-0.002,2.295,0.797,0.034,0.074,0.009
"544","78","MA(1)","0.72|0.38|0.15",50,0.015,1.354,0.788,0.026,0.045,0.009
"545","78","MA(2)","0.72|0.38|0.15",50,-0.01,1.31,0.823,0.026,0.042,0.009
"546","78","MA(3)","0.72|0.38|0.15",50,0.019,1.203,0.828,0.025,0.038,0.008
"547","79","Linear Reg","0.72|0.38|0.15",100,-0.045,1.235,0.72,0.025,0.039,0.01
"548","79","Prais Winsten","0.72|0.38|0.15",100,-0.024,0.888,0.947,0.021,0.03,0.005
"549","79","ARMA","0.72|0.38|0.15",100,-0.033,0.814,0.901,0.02,0.026,0.007
"550","79","Newey West","0.72|0.38|0.15",100,-0.045,1.235,0.84,0.025,0.039,0.008
"551","79","MA(1)","0.72|0.38|0.15",100,-0.034,0.836,0.835,0.02,0.027,0.008
"552","79","MA(2)","0.72|0.38|0.15",100,-0.033,0.822,0.878,0.02,0.026,0.007
"553","79","MA(3)","0.72|0.38|0.15",100,-0.025,0.765,0.898,0.02,0.024,0.007
"554","80","Linear Reg","0.72|0.38|0.15",300,-0.016,0.464,0.694,0.015,0.015,0.01
"555","80","Prais Winsten","0.72|0.38|0.15",300,-0.005,0.409,0.974,0.014,0.013,0.004
"556","80","ARMA","0.72|0.38|0.15",300,-0.01,0.354,0.929,0.013,0.011,0.006
"557","80","Newey West","0.72|0.38|0.15",300,-0.016,0.464,0.885,0.015,0.015,0.007
